+0.004s  PROCESS  processor=Pipeline dir=Downstream frame=Frame { id: 1, sibling_id: None, inner: System(Start(StartFrameData { allow_interruptions: true, enable_metrics: false, enable_usage_metrics: false, report_only_initial_ttfb: false, metadata: {} })) }
+0.005s  PROCESS  processor=PipelineSource dir=Downstream frame=Frame { id: 1, sibling_id: None, inner: System(Start(StartFrameData { allow_interruptions: true, enable_metrics: false, enable_usage_metrics: false, report_only_initial_ttfb: false, metadata: {} })) }
+0.005s  PUSH     src=PipelineSource dst=PipelineTaskSource dir=Downstream frame=Frame { id: 1, sibling_id: None, inner: System(Start(StartFrameData { allow_interruptions: true, enable_metrics: false, enable_usage_metrics: false, report_only_initial_ttfb: false, metadata: {} })) }
+0.007s  PROCESS  processor=PipelineTaskSource dir=Downstream frame=Frame { id: 1, sibling_id: None, inner: System(Start(StartFrameData { allow_interruptions: true, enable_metrics: false, enable_usage_metrics: false, report_only_initial_ttfb: false, metadata: {} })) }
+0.007s  PUSH     src=PipelineTaskSource dst=WsTransport-1Input dir=Downstream frame=Frame { id: 1, sibling_id: None, inner: System(Start(StartFrameData { allow_interruptions: true, enable_metrics: false, enable_usage_metrics: false, report_only_initial_ttfb: false, metadata: {} })) }
+0.008s  PROCESS  processor=WsTransport-1Input dir=Downstream frame=Frame { id: 1, sibling_id: None, inner: System(Start(StartFrameData { allow_interruptions: true, enable_metrics: false, enable_usage_metrics: false, report_only_initial_ttfb: false, metadata: {} })) }
+0.008s  PUSH     src=WsTransport-1Input dst=RaviProcessor dir=Downstream frame=Frame { id: 1, sibling_id: None, inner: System(Start(StartFrameData { allow_interruptions: true, enable_metrics: false, enable_usage_metrics: false, report_only_initial_ttfb: false, metadata: {} })) }
+0.008s  PROCESS  processor=RaviProcessor dir=Downstream frame=Frame { id: 1, sibling_id: None, inner: System(Start(StartFrameData { allow_interruptions: true, enable_metrics: false, enable_usage_metrics: false, report_only_initial_ttfb: false, metadata: {} })) }
+0.008s  PUSH     src=RaviProcessor dst=SarvamStt dir=Downstream frame=Frame { id: 1, sibling_id: None, inner: System(Start(StartFrameData { allow_interruptions: true, enable_metrics: false, enable_usage_metrics: false, report_only_initial_ttfb: false, metadata: {} })) }
+0.008s  PROCESS  processor=SarvamStt dir=Downstream frame=Frame { id: 1, sibling_id: None, inner: System(Start(StartFrameData { allow_interruptions: true, enable_metrics: false, enable_usage_metrics: false, report_only_initial_ttfb: false, metadata: {} })) }
+0.008s  PUSH     src=SarvamStt dst=LLMUserAggregator dir=Downstream frame=Frame { id: 1, sibling_id: None, inner: System(Start(StartFrameData { allow_interruptions: true, enable_metrics: false, enable_usage_metrics: false, report_only_initial_ttfb: false, metadata: {} })) }
+0.009s  PROCESS  processor=LLMUserAggregator dir=Downstream frame=Frame { id: 1, sibling_id: None, inner: System(Start(StartFrameData { allow_interruptions: true, enable_metrics: false, enable_usage_metrics: false, report_only_initial_ttfb: false, metadata: {} })) }
+0.009s  PUSH     src=LLMUserAggregator dst=OpenAILLM dir=Downstream frame=Frame { id: 1, sibling_id: None, inner: System(Start(StartFrameData { allow_interruptions: true, enable_metrics: false, enable_usage_metrics: false, report_only_initial_ttfb: false, metadata: {} })) }
+0.010s  PROCESS  processor=OpenAILLM dir=Downstream frame=Frame { id: 1, sibling_id: None, inner: System(Start(StartFrameData { allow_interruptions: true, enable_metrics: false, enable_usage_metrics: false, report_only_initial_ttfb: false, metadata: {} })) }
+0.010s  PUSH     src=OpenAILLM dst=LLMAssistantAggregator dir=Downstream frame=Frame { id: 1, sibling_id: None, inner: System(Start(StartFrameData { allow_interruptions: true, enable_metrics: false, enable_usage_metrics: false, report_only_initial_ttfb: false, metadata: {} })) }
+0.010s  PROCESS  processor=LLMAssistantAggregator dir=Downstream frame=Frame { id: 1, sibling_id: None, inner: System(Start(StartFrameData { allow_interruptions: true, enable_metrics: false, enable_usage_metrics: false, report_only_initial_ttfb: false, metadata: {} })) }
+0.010s  PUSH     src=LLMAssistantAggregator dst=DeepgramTts dir=Downstream frame=Frame { id: 1, sibling_id: None, inner: System(Start(StartFrameData { allow_interruptions: true, enable_metrics: false, enable_usage_metrics: false, report_only_initial_ttfb: false, metadata: {} })) }
+0.010s  PROCESS  processor=DeepgramTts dir=Downstream frame=Frame { id: 1, sibling_id: None, inner: System(Start(StartFrameData { allow_interruptions: true, enable_metrics: false, enable_usage_metrics: false, report_only_initial_ttfb: false, metadata: {} })) }
+0.011s  PUSH     src=DeepgramTts dst=WsTransport-1Output dir=Downstream frame=Frame { id: 1, sibling_id: None, inner: System(Start(StartFrameData { allow_interruptions: true, enable_metrics: false, enable_usage_metrics: false, report_only_initial_ttfb: false, metadata: {} })) }
+0.012s  PROCESS  processor=WsTransport-1Output dir=Downstream frame=Frame { id: 1, sibling_id: None, inner: System(Start(StartFrameData { allow_interruptions: true, enable_metrics: false, enable_usage_metrics: false, report_only_initial_ttfb: false, metadata: {} })) }
+0.012s  PUSH     src=WsTransport-1Output dst=PipelineTaskSink dir=Downstream frame=Frame { id: 1, sibling_id: None, inner: System(Start(StartFrameData { allow_interruptions: true, enable_metrics: false, enable_usage_metrics: false, report_only_initial_ttfb: false, metadata: {} })) }
+0.012s  PROCESS  processor=PipelineTaskSink dir=Downstream frame=Frame { id: 1, sibling_id: None, inner: System(Start(StartFrameData { allow_interruptions: true, enable_metrics: false, enable_usage_metrics: false, report_only_initial_ttfb: false, metadata: {} })) }
+0.012s  PUSH     src=PipelineTaskSink dst=PipelineSink dir=Downstream frame=Frame { id: 1, sibling_id: None, inner: System(Start(StartFrameData { allow_interruptions: true, enable_metrics: false, enable_usage_metrics: false, report_only_initial_ttfb: false, metadata: {} })) }
+0.012s  PROCESS  processor=PipelineSink dir=Downstream frame=Frame { id: 1, sibling_id: None, inner: System(Start(StartFrameData { allow_interruptions: true, enable_metrics: false, enable_usage_metrics: false, report_only_initial_ttfb: false, metadata: {} })) }
+0.448s  PUSH     src=WsTransport-1Input dst=RaviProcessor dir=Downstream frame=Frame { id: 2, sibling_id: None, inner: System(InputAudioRaw(AudioRawData { audio: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,…  (32833 chars)
+0.448s  PROCESS  processor=RaviProcessor dir=Downstream frame=Frame { id: 2, sibling_id: None, inner: System(InputAudioRaw(AudioRawData { audio: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,…  (32833 chars)
+0.448s  PUSH     src=RaviProcessor dst=SarvamStt dir=Downstream frame=Frame { id: 2, sibling_id: None, inner: System(InputAudioRaw(AudioRawData { audio: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,…  (32833 chars)
+0.449s  PROCESS  processor=SarvamStt dir=Downstream frame=Frame { id: 2, sibling_id: None, inner: System(InputAudioRaw(AudioRawData { audio: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,…  (32833 chars)
+0.449s  PUSH     src=SarvamStt dst=LLMUserAggregator dir=Downstream frame=Frame { id: 2, sibling_id: None, inner: System(InputAudioRaw(AudioRawData { audio: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,…  (32833 chars)
+0.450s  PROCESS  processor=LLMUserAggregator dir=Downstream frame=Frame { id: 2, sibling_id: None, inner: System(InputAudioRaw(AudioRawData { audio: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,…  (32833 chars)
+0.450s  PUSH     src=LLMUserAggregator dst=OpenAILLM dir=Downstream frame=Frame { id: 2, sibling_id: None, inner: System(InputAudioRaw(AudioRawData { audio: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,…  (32833 chars)
+0.450s  PROCESS  processor=OpenAILLM dir=Downstream frame=Frame { id: 2, sibling_id: None, inner: System(InputAudioRaw(AudioRawData { audio: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,…  (32833 chars)
+0.451s  PUSH     src=OpenAILLM dst=LLMAssistantAggregator dir=Downstream frame=Frame { id: 2, sibling_id: None, inner: System(InputAudioRaw(AudioRawData { audio: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,…  (32833 chars)
+0.451s  PROCESS  processor=LLMAssistantAggregator dir=Downstream frame=Frame { id: 2, sibling_id: None, inner: System(InputAudioRaw(AudioRawData { audio: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,…  (32833 chars)
+0.451s  PUSH     src=LLMAssistantAggregator dst=DeepgramTts dir=Downstream frame=Frame { id: 2, sibling_id: None, inner: System(InputAudioRaw(AudioRawData { audio: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,…  (32833 chars)
+0.704s  PUSH     src=WsTransport-1Input dst=RaviProcessor dir=Downstream frame=Frame { id: 3, sibling_id: None, inner: System(InputAudioRaw(AudioRawData { audio: [179, 1, 38, 2, 47, 2, 142, 1, 114, 0, 218, 255, 249, 254, 66, 254, 32, 254, 23, 254, 78, 254, 182, 254, 0, 255, 213,…  (35198 chars)
+0.705s  PROCESS  processor=RaviProcessor dir=Downstream frame=Frame { id: 3, sibling_id: None, inner: System(InputAudioRaw(AudioRawData { audio: [179, 1, 38, 2, 47, 2, 142, 1, 114, 0, 218, 255, 249, 254, 66, 254, 32, 254, 23, 254, 78, 254, 182, 254, 0, 255, 213,…  (35198 chars)
+0.706s  PUSH     src=RaviProcessor dst=SarvamStt dir=Downstream frame=Frame { id: 3, sibling_id: None, inner: System(InputAudioRaw(AudioRawData { audio: [179, 1, 38, 2, 47, 2, 142, 1, 114, 0, 218, 255, 249, 254, 66, 254, 32, 254, 23, 254, 78, 254, 182, 254, 0, 255, 213,…  (35198 chars)
+0.707s  PROCESS  processor=SarvamStt dir=Downstream frame=Frame { id: 3, sibling_id: None, inner: System(InputAudioRaw(AudioRawData { audio: [179, 1, 38, 2, 47, 2, 142, 1, 114, 0, 218, 255, 249, 254, 66, 254, 32, 254, 23, 254, 78, 254, 182, 254, 0, 255, 213,…  (35198 chars)
